name,class,pixCount
tile_0_lidar.tif,aguada,0
tile_0_lidar.tif,building,0
tile_0_lidar.tif,platform,0
tile_1000_lidar.tif,aguada,0
tile_1000_lidar.tif,building,1466
tile_1000_lidar.tif,platform,7831
tile_1001_lidar.tif,aguada,0
tile_1001_lidar.tif,building,0
tile_1001_lidar.tif,platform,364
tile_1002_lidar.tif,aguada,0
tile_1002_lidar.tif,building,3173
tile_1002_lidar.tif,platform,304
tile_1003_lidar.tif,aguada,0
tile_1003_lidar.tif,building,1402
tile_1003_lidar.tif,platform,0
tile_1004_lidar.tif,aguada,0
tile_1004_lidar.tif,building,3060
tile_1004_lidar.tif,platform,2033
tile_1005_lidar.tif,aguada,0
tile_1005_lidar.tif,building,1032
tile_1005_lidar.tif,platform,0
tile_1006_lidar.tif,aguada,0
tile_1006_lidar.tif,building,0
tile_1006_lidar.tif,platform,0
tile_1007_lidar.tif,aguada,0
tile_1007_lidar.tif,building,0
tile_1007_lidar.tif,platform,0
tile_1008_lidar.tif,aguada,0
tile_1008_lidar.tif,building,0
tile_1008_lidar.tif,platform,0
tile_1009_lidar.tif,aguada,0
tile_1009_lidar.tif,building,8415
tile_1009_lidar.tif,platform,16073
tile_100_lidar.tif,aguada,0
tile_100_lidar.tif,building,1691
tile_100_lidar.tif,platform,2746
tile_1010_lidar.tif,aguada,0
tile_1010_lidar.tif,building,0
tile_1010_lidar.tif,platform,0
tile_1011_lidar.tif,aguada,0
tile_1011_lidar.tif,building,0
tile_1011_lidar.tif,platform,0
tile_1012_lidar.tif,aguada,0
tile_1012_lidar.tif,building,0
tile_1012_lidar.tif,platform,0
tile_1013_lidar.tif,aguada,0
tile_1013_lidar.tif,building,8142
tile_1013_lidar.tif,platform,1424
tile_1014_lidar.tif,aguada,0
tile_1014_lidar.tif,building,0
tile_1014_lidar.tif,platform,0
tile_1015_lidar.tif,aguada,0
tile_1015_lidar.tif,building,0
tile_1015_lidar.tif,platform,0
tile_1016_lidar.tif,aguada,0
tile_1016_lidar.tif,building,0
tile_1016_lidar.tif,platform,0
tile_1017_lidar.tif,aguada,0
tile_1017_lidar.tif,building,1007
tile_1017_lidar.tif,platform,3062
tile_1018_lidar.tif,aguada,0
tile_1018_lidar.tif,building,9724
tile_1018_lidar.tif,platform,19279
tile_1019_lidar.tif,aguada,0
tile_1019_lidar.tif,building,0
tile_1019_lidar.tif,platform,0
tile_101_lidar.tif,aguada,0
tile_101_lidar.tif,building,835
tile_101_lidar.tif,platform,0
tile_1020_lidar.tif,aguada,0
